Temperature,Humidity,Moisture,pH,Soil Type,Tea Type,Nitrogen,Potassium,Phosphorous,Size of land,Kilos Produced,Number of Bushes,Fertilizer Name,Number of Bags
28,69,57,7.1376996636561625,Clay,Black,25,15,19,18,502,516,NPK 20-20-10,10
26,68,53,4.593898188067399,Sandy,Green,46,33,10,9,1120,1368,NPK 5-10-5,22
20,73,61,8.031624131124357,Sandy,Black,36,16,5,8,527,961,NPK 5-10-5,10
26,78,67,4.889067243922686,Sandy,Green,44,37,27,5,1322,1086,Organic,26
20,67,68,5.286003423411373,Sandy,Green,44,38,12,16,948,939,Organic,18
26,77,52,5.07206188119274,Sandy,Black,36,24,23,5,592,1451,Organic,11
24,68,52,6.577725442999753,Sandy,Oolong,42,36,29,8,1449,629,NPK 5-10-5,28
29,74,67,4.675465407470282,Sandy,Green,46,18,21,18,928,557,NPK 20-20-10,18
21,80,55,7.280324027168142,Sandy,Green,27,17,27,18,1320,1025,Organic,26
28,74,53,6.017309738305902,Loam,Black,26,17,27,9,863,1392,Organic,17
23,66,68,7.741779285542963,Clay,Green,27,16,9,18,853,753,NPK 5-10-5,17
27,66,65,5.975535737688219,Loam,Black,28,37,10,20,1332,1144,NPK 20-20-10,26
28,74,61,5.243560718912067,Loam,Black,28,27,24,13,1261,680,NPK 20-20-10,25
27,64,50,6.883342599298149,Loam,Green,26,20,28,10,1205,980,Organic,24
25,63,52,5.996839648765933,Loam,Black,35,40,30,15,604,924,Organic,12
21,76,55,8.136892840206585,Loam,Green,35,16,15,6,1414,1247,NPK 5-10-5,28
23,80,65,5.401291207129231,Loam,Black,37,17,23,6,1087,1008,NPK 5-10-5,21
27,76,64,5.373904132232209,Loam,Green,34,33,27,19,875,524,NPK 5-10-5,17
20,63,60,5.699519408299002,Sandy,Oolong,50,27,11,9,517,1046,Organic,10
23,64,53,8.286891594987129,Sandy,Black,48,24,12,15,513,1238,NPK 20-20-10,10
20,73,68,6.156487838867962,Clay,Oolong,31,39,15,11,1094,1131,Organic,21
25,74,67,4.6150075743512,Clay,Oolong,50,29,30,17,677,862,NPK 5-10-5,13
29,62,61,6.138862601935639,Loam,Green,35,20,23,9,664,1474,NPK 5-10-5,13
20,63,52,7.560599183376196,Sandy,Oolong,39,16,10,5,1146,706,NPK 5-10-5,22
21,67,56,6.339560776379391,Sandy,Black,50,27,16,16,1207,760,Organic,24
28,73,62,5.8202599821846,Clay,Oolong,41,24,19,17,1096,1401,NPK 5-10-5,21
26,67,57,5.647687137372737,Clay,Black,34,22,26,13,1378,1389,Organic,27
27,69,64,5.6108609879106695,Loam,Green,48,35,23,12,1145,1164,Organic,22
21,71,63,8.092147429081377,Loam,Oolong,45,34,20,9,1390,1342,NPK 5-10-5,27
26,69,66,6.295325819715753,Clay,Black,41,30,12,18,1079,644,NPK 20-20-10,21
30,62,58,7.837630274036165,Clay,Black,48,26,6,11,612,1396,NPK 20-20-10,12
25,61,51,6.301313749671095,Clay,Oolong,27,21,22,14,892,743,NPK 20-20-10,17
27,61,56,6.4051229224810005,Clay,Black,38,32,16,10,591,797,Organic,11
22,65,64,5.840108301466648,Loam,Green,47,39,19,11,1406,1449,NPK 20-20-10,28
22,63,66,8.138005806264378,Clay,Oolong,37,24,11,20,1397,995,NPK 20-20-10,27
24,75,69,5.428372879843572,Loam,Oolong,47,27,18,12,914,571,NPK 20-20-10,18
27,80,57,6.207577691591193,Sandy,Black,30,32,21,13,636,1195,Organic,12
29,63,66,7.871268157990112,Loam,Oolong,26,27,22,10,545,848,NPK 5-10-5,10
30,69,70,7.028711109281691,Loam,Oolong,32,40,17,20,1341,825,Organic,26
29,73,54,5.811357382043408,Loam,Green,39,22,11,6,1319,896,Organic,26
23,62,67,8.223597815197808,Sandy,Black,48,22,29,9,822,975,Organic,16
24,79,51,6.965867351528534,Clay,Green,28,15,9,12,601,774,NPK 5-10-5,12
24,78,62,5.93373049441845,Clay,Green,47,16,16,13,1078,730,Organic,21
29,75,68,4.778769982540984,Sandy,Green,41,32,24,17,924,543,NPK 20-20-10,18
24,76,54,5.995538854176736,Clay,Black,37,17,30,18,603,1076,Organic,12
21,60,53,6.127121562496489,Clay,Oolong,37,26,13,13,1474,985,NPK 20-20-10,29
27,79,56,5.161405593359426,Loam,Green,37,27,18,10,702,797,NPK 20-20-10,14
28,67,67,7.516320324114437,Clay,Black,33,26,6,6,1066,1096,Organic,21
29,68,62,8.004425496897895,Loam,Black,48,31,6,9,605,1403,Organic,12
28,60,67,6.870443143723115,Clay,Green,47,31,17,18,704,1122,NPK 20-20-10,14
20,70,51,5.469105077390811,Clay,Green,42,20,12,6,833,672,NPK 20-20-10,16
30,75,70,7.3960929828630055,Sandy,Black,36,29,15,7,549,1018,Organic,10
22,61,53,5.399772585228979,Clay,Green,27,22,9,20,720,1190,NPK 20-20-10,14
27,75,54,5.853150511983035,Loam,Green,32,22,21,16,1373,995,NPK 5-10-5,27
26,73,58,7.798800716095659,Clay,Oolong,44,25,20,19,770,1072,NPK 5-10-5,15
27,61,64,5.921994140138947,Clay,Black,31,22,10,6,1199,619,NPK 5-10-5,23
21,63,52,6.792862727306019,Clay,Green,41,17,17,7,843,1187,Organic,16
26,74,57,5.097763496190713,Loam,Green,40,34,27,5,830,503,Organic,16
25,74,58,8.354308095594899,Loam,Oolong,28,32,5,13,1282,1126,NPK 20-20-10,25
23,76,53,7.539019376226705,Loam,Black,42,31,6,13,1090,971,NPK 20-20-10,21
29,67,65,4.626144618289155,Sandy,Green,29,18,21,15,1115,673,NPK 5-10-5,22
26,67,50,6.067430091083624,Sandy,Green,30,17,10,13,1207,1372,NPK 20-20-10,24
26,70,59,6.984947788797569,Sandy,Green,38,15,16,16,569,630,NPK 5-10-5,11
24,68,60,7.109671794142779,Clay,Black,33,20,10,13,885,1032,NPK 20-20-10,17
20,62,65,8.162646503542424,Sandy,Green,43,17,8,10,850,578,NPK 20-20-10,17
20,71,56,4.818102238105136,Sandy,Oolong,35,27,9,14,537,1482,Organic,10
24,64,51,4.766808377320942,Clay,Black,38,39,29,10,923,550,Organic,18
22,61,65,8.369489351155394,Clay,Black,34,26,27,14,1492,814,NPK 5-10-5,29
25,72,69,7.661107493270394,Sandy,Black,30,15,5,7,1250,1032,Organic,25
27,62,55,7.314712611409006,Loam,Oolong,28,28,13,8,723,597,Organic,14
27,80,61,6.294789692594964,Sandy,Oolong,30,29,15,8,1236,1195,Organic,24
29,68,54,6.062045249615673,Sandy,Oolong,37,37,26,15,965,628,NPK 20-20-10,19
29,60,61,6.4632258111452945,Clay,Oolong,39,32,30,20,714,1148,NPK 5-10-5,14
28,71,63,4.600989443920502,Clay,Oolong,42,36,9,5,886,1454,NPK 5-10-5,17
20,74,70,6.227100957470734,Loam,Oolong,45,37,23,17,1272,1298,NPK 20-20-10,25
23,69,64,7.9654191166775234,Clay,Green,49,36,15,8,1277,917,Organic,25
26,80,55,5.744854635770265,Loam,Green,41,26,13,6,1427,559,NPK 20-20-10,28
30,74,51,5.0287753529913335,Sandy,Green,49,39,18,11,1063,1278,NPK 5-10-5,21
27,65,52,7.065570464687689,Clay,Black,41,17,22,10,1242,534,Organic,24
23,73,61,5.36501264373655,Loam,Black,32,23,10,5,945,1351,NPK 5-10-5,18
24,73,52,7.030434391818634,Loam,Oolong,42,27,14,5,1187,579,NPK 5-10-5,23
21,80,51,5.51436678293683,Sandy,Green,46,19,12,7,730,1428,Organic,14
22,71,67,5.085930897659554,Clay,Oolong,44,32,26,6,1394,1124,Organic,27
24,80,68,4.676251258011559,Loam,Oolong,34,16,14,20,1039,504,Organic,20
26,61,60,5.668404713596811,Loam,Black,42,39,30,14,652,1189,NPK 5-10-5,13
30,71,67,4.841758780144627,Sandy,Oolong,47,26,5,13,901,1318,Organic,18
21,80,53,6.084030842995968,Sandy,Black,46,20,18,9,1244,1151,Organic,24
27,75,56,6.963065449560062,Loam,Black,33,31,26,20,1346,809,NPK 20-20-10,26
26,67,57,6.900101260184885,Clay,Oolong,25,32,14,11,1480,1116,NPK 5-10-5,29
28,75,70,7.109702376796428,Sandy,Black,26,34,11,15,1221,633,Organic,24
24,64,52,4.74785897265544,Loam,Black,47,19,16,6,629,1306,NPK 20-20-10,12
23,66,59,5.3443373438825965,Sandy,Green,50,28,11,11,1468,509,NPK 20-20-10,29
30,74,52,7.785377301533604,Sandy,Green,45,28,11,8,740,1145,NPK 5-10-5,14
24,80,60,8.161594372700446,Loam,Green,50,18,22,14,875,931,Organic,17
28,71,52,8.303814715528363,Clay,Black,33,23,19,17,831,583,NPK 20-20-10,16
22,64,67,7.207151265618274,Loam,Black,30,29,9,14,515,1256,NPK 20-20-10,10
22,67,67,6.912008879001407,Loam,Oolong,42,35,12,9,549,685,NPK 5-10-5,10
